Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,SO_ratio,Ground_Out_ratio,Fly_Out_ratio,Out_ratio,Speed
アルカンタラ,0.12270701754385964,0.021052631578947368,0.0001,0.04912280701754386,0.07368421052631578,0.30526315789473685,0.25684210526315787,0.17122807017543862,0.7333333333333333,-8
淺間大基,0.1375,0.058333333333333334,0.004166666666666667,0.016666666666666666,0.04583333333333333,0.22916666666666666,0.305,0.20333333333333334,0.7375,9
石井一成,0.1402439024390244,0.036585365853658534,0.018292682926829267,0.018292682926829267,0.06402439024390244,0.1951219512195122,0.3164634146341463,0.21097560975609753,0.722560975609756,12
石川亮,0.13431538461538464,0.0001,0.0001,0.0001,0.038461538461538464,0.1346153846153846,0.41538461538461535,0.27692307692307694,0.8269230769230769,0
今川優馬,0.12621359223300974,0.03883495145631068,0.0032362459546925572,0.03236245954692557,0.08414239482200649,0.226537216828479,0.2932038834951457,0.19546925566343049,0.7152103559870553,-1
宇佐見真吾,0.16867637130801688,0.04219409282700422,0.0001,0.02109704641350211,0.05485232067510549,0.17721518987341772,0.32151898734177214,0.21434599156118145,0.7130801687763713,0
梅林優貴,0.0782313725490196,0.0196078431372549,0.0001,0.0001,0.0196078431372549,0.37254901960784315,0.30588235294117644,0.20392156862745098,0.8823529411764706,0
上川畑大悟,0.2159468438538206,0.023255813953488372,0.006644518272425249,0.006644518272425249,0.09302325581395349,0.14950166112956811,0.3029900332225913,0.2019933554817276,0.654485049833887,-6
木村文紀,0.10881089108910891,0.039603960396039604,0.0001,0.019801980198019802,0.04950495049504951,0.38613861386138615,0.2376237623762376,0.15841584158415845,0.7821782178217822,-2
清宮幸太郎,0.09327548806941433,0.0542299349240781,0.0065075921908893716,0.03904555314533623,0.11062906724511933,0.245119305856833,0.27071583514099784,0.1804772234273319,0.6963123644251628,3
郡拓也,0.0633920634920635,0.015873015873015876,0.00010000000000000002,0.03174603174603175,0.07936507936507937,0.253968253968254,0.33333333333333337,0.22222222222222227,0.8095238095238098,-1
近藤健介,0.15909090909090912,0.06565656565656568,0.002525252525252526,0.020202020202020207,0.16919191919191923,0.11363636363636365,0.28181818181818186,0.18787878787878792,0.5833333333333335,-3
佐藤龍世,0.07537169811320754,0.018867924528301886,0.0001,0.009433962264150943,0.0660377358490566,0.2169811320754717,0.36792452830188677,0.24528301886792453,0.8301886792452831,0
清水優心,0.16397910447761196,0.014925373134328358,0.0001,0.0001,0.029850746268656716,0.22388059701492538,0.34029850746268653,0.22686567164179106,0.7910447761194029,-2
杉谷拳士,0.1282403669724771,0.01834862385321101,0.0001,0.0001,0.07339449541284404,0.1926605504587156,0.3522935779816514,0.23486238532110093,0.7798165137614679,0
中島卓也,0.1665666666666667,0.020000000000000004,0.006666666666666668,0.00010000000000000002,0.07333333333333335,0.2066666666666667,0.31600000000000006,0.21066666666666672,0.7333333333333334,12
ヌニエス,0.09444444444444444,0.03888888888888889,0.005555555555555556,0.022222222222222223,0.06666666666666667,0.3388888888888889,0.26,0.17333333333333334,0.7722222222222223,4
野村佑希,0.17663043478260873,0.06521739130434784,0.005434782608695653,0.01630434782608696,0.04891304347826088,0.19293478260869568,0.2967391304347826,0.19782608695652176,0.6875,1
古川裕大,0.17572592592592595,0.027777777777777776,0.0001,0.0001,0.07407407407407407,0.21296296296296297,0.3055555555555556,0.20370370370370372,0.7222222222222223,-4
松本剛,0.2449438202247191,0.051685393258426963,0.0044943820224719105,0.006741573033707865,0.08089887640449438,0.09438202247191012,0.31011235955056177,0.20674157303370785,0.6112359550561798,17
万波中正,0.10828025477707007,0.03184713375796178,0.006369426751592357,0.044585987261146494,0.044585987261146494,0.35668789808917195,0.2445859872611465,0.16305732484076435,0.7643312101910829,2
谷内亮太,0.1855287425149701,0.053892215568862284,0.00010000000000000002,0.00598802395209581,0.053892215568862284,0.14371257485029942,0.33413173652694617,0.22275449101796413,0.7005988023952097,-2
渡邉諒,0.1249,0.0625,0.03125,0.0001,0.0625,0.265625,0.271875,0.18125000000000002,0.71875,6
