Year,League,Team,Team_Abbr,Position,Player
2024,Central,ヤクルト,S,捕,中村悠平
2024,Central,ヤクルト,S,一,オスナ
2024,Central,ヤクルト,S,二,山田哲人
2024,Central,ヤクルト,S,三,村上宗隆
2024,Central,ヤクルト,S,遊,長岡秀樹
2024,Central,ヤクルト,S,左,サンタナ
2024,Central,ヤクルト,S,中,西川遥輝
2024,Central,ヤクルト,S,右,丸山和郁
2024,Central,DeNA,DB,捕,山本祐大
2024,Central,DeNA,DB,一,オースティン
2024,Central,DeNA,DB,二,牧秀悟
2024,Central,DeNA,DB,三,宮﨑敏郎
2024,Central,DeNA,DB,遊,森敬斗
2024,Central,DeNA,DB,左,佐野恵太
2024,Central,DeNA,DB,中,桑原将志
2024,Central,DeNA,DB,右,度会隆輝
2024,Central,阪神,T,捕,梅野隆太郎
2024,Central,阪神,T,一,大山悠輔
2024,Central,阪神,T,二,中野拓夢
2024,Central,阪神,T,三,佐藤輝明
2024,Central,阪神,T,遊,木浪聖也
2024,Central,阪神,T,左,前川右京
2024,Central,阪神,T,中,近本光司
2024,Central,阪神,T,右,森下翔太
2024,Central,巨人,G,捕,岸田行倫
2024,Central,巨人,G,一,岡本和真
2024,Central,巨人,G,二,吉川尚輝
2024,Central,巨人,G,三,坂本勇人
2024,Central,巨人,G,遊,門脇誠
2024,Central,巨人,G,左,丸佳浩
2024,Central,巨人,G,中,ヘルナンデス
2024,Central,巨人,G,右,浅野翔吾
2024,Central,広島,C,捕,坂倉将吾
2024,Central,広島,C,一,堂林翔太
2024,Central,広島,C,二,菊池涼介
2024,Central,広島,C,三,小園海斗
2024,Central,広島,C,遊,矢野雅哉
2024,Central,広島,C,左,末包昇大
2024,Central,広島,C,中,秋山翔吾
2024,Central,広島,C,右,野間峻祥
2024,Central,中日,D,捕,木下拓哉
2024,Central,中日,D,一,中田翔
2024,Central,中日,D,二,田中幹也
2024,Central,中日,D,三,福永裕基
2024,Central,中日,D,遊,村松開人
2024,Central,中日,D,左,細川成也
2024,Central,中日,D,中,岡林勇希
2024,Central,中日,D,右,上林誠知
2024,Pacific,オリックス,B,捕,若月健矢
2024,Pacific,オリックス,B,一,頓宮裕真
2024,Pacific,オリックス,B,二,太田椋
2024,Pacific,オリックス,B,三,宗佑磨
2024,Pacific,オリックス,B,遊,紅林弘太郎
2024,Pacific,オリックス,B,左,西川龍馬
2024,Pacific,オリックス,B,中,福田周平
2024,Pacific,オリックス,B,右,杉本裕太郎
2024,Pacific,オリックス,B,指,森友哉
2024,Pacific,ソフトバンク,H,捕,甲斐拓也
2024,Pacific,ソフトバンク,H,一,山川穂高
2024,Pacific,ソフトバンク,H,二,牧原大成
2024,Pacific,ソフトバンク,H,三,栗原陵矢
2024,Pacific,ソフトバンク,H,遊,今宮健太
2024,Pacific,ソフトバンク,H,左,近藤健介
2024,Pacific,ソフトバンク,H,中,周東佑京
2024,Pacific,ソフトバンク,H,右,正木智也
2024,Pacific,ソフトバンク,H,指,ウォーカー
2024,Pacific,西武,L,捕,古賀悠斗
2024,Pacific,西武,L,一,野村大樹
2024,Pacific,西武,L,二,外崎修汰
2024,Pacific,西武,L,三,佐藤龍世
2024,Pacific,西武,L,遊,源田壮亮
2024,Pacific,西武,L,左,岸潤一郎
2024,Pacific,西武,L,中,西川愛也
2024,Pacific,西武,L,右,蛭間拓哉
2024,Pacific,西武,L,指,中村剛也
2024,Pacific,楽天,E,捕,太田光
2024,Pacific,楽天,E,一,鈴木大地
2024,Pacific,楽天,E,二,小深田大翔
2024,Pacific,楽天,E,三,浅村栄斗
2024,Pacific,楽天,E,遊,村林一輝
2024,Pacific,楽天,E,左,中島大輔
2024,Pacific,楽天,E,中,辰己涼介
2024,Pacific,楽天,E,右,小郷裕哉
2024,Pacific,楽天,E,指,島内宏明
2024,Pacific,ロッテ,M,捕,佐藤都志也
2024,Pacific,ロッテ,M,一,ソト
2024,Pacific,ロッテ,M,二,藤岡裕大
2024,Pacific,ロッテ,M,三,中村奨吾
2024,Pacific,ロッテ,M,遊,友杉篤輝
2024,Pacific,ロッテ,M,左,角中勝也
2024,Pacific,ロッテ,M,中,髙部瑛斗
2024,Pacific,ロッテ,M,右,藤原恭大
2024,Pacific,ロッテ,M,指,ポランコ
2024,Pacific,日本ハム,F,捕,田宮裕涼
2024,Pacific,日本ハム,F,一,マルティネス
2024,Pacific,日本ハム,F,二,石井一成
2024,Pacific,日本ハム,F,三,郡司裕也
2024,Pacific,日本ハム,F,遊,水野達稀
2024,Pacific,日本ハム,F,左,水谷瞬
2024,Pacific,日本ハム,F,中,松本剛
2024,Pacific,日本ハム,F,右,万波中正
2024,Pacific,日本ハム,F,指,レイエス
