選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
東晃平,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
安達了一,24,44,37,4,8,1,0,0,9,2,0,0,3,0,3,0,1,8,0,0.216,0.243,0.293
阿部翔太,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
井口和朋,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
池田陵真,8,23,23,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,1,0.174,0.174,0.174
石川亮,13,8,7,0,1,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0.143,0.286,0.25
宇田川優希,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
エスピノーザ,22,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
大里昂生,51,176,153,11,36,4,2,2,50,8,5,2,8,0,14,0,1,26,1,0.235,0.327,0.304
大城滉二,7,18,13,3,4,1,0,0,5,2,0,0,3,0,0,0,2,1,0,0.308,0.385,0.4
太田椋,91,369,333,39,96,16,3,6,136,40,4,3,4,4,27,0,1,66,10,0.288,0.408,0.34
小田裕也,20,15,14,3,3,1,1,0,6,0,0,0,0,0,1,0,0,5,1,0.214,0.429,0.267
カスティーヨ,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
川瀬堅斗,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
来田涼斗,54,189,170,14,36,7,2,2,53,11,4,4,7,0,10,0,2,49,4,0.212,0.312,0.264
宜保翔,22,14,12,2,3,0,0,0,3,0,1,0,0,0,2,0,0,3,0,0.25,0.25,0.357
紅林弘太郎,136,523,465,32,115,25,0,2,146,38,0,4,8,8,37,0,5,74,12,0.247,0.314,0.305
元謙太,5,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.125,0.125,0.125
ゴンザレス,23,65,61,3,8,0,0,1,11,2,0,0,0,0,4,1,0,13,0,0.131,0.18,0.185
小木田敦也,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
古田島成龍,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
才木海翔,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
齋藤響介,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0
佐藤一磨,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
佐野皓大,4,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0
杉澤龍,28,21,19,0,1,0,0,0,1,0,0,0,2,0,0,0,0,6,0,0.053,0.053,0.053
杉本裕太郎,82,239,219,17,51,7,0,11,91,27,1,0,0,1,15,1,4,56,5,0.233,0.416,0.293
鈴木博志,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
セデーニョ,98,334,304,29,79,9,0,15,133,37,0,2,0,2,23,5,5,97,15,0.26,0.438,0.32
曽谷龍平,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
髙島泰都,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
田嶋大樹,21,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
茶野篤政,16,57,52,6,14,2,1,0,18,6,5,0,1,1,3,0,0,13,0,0.269,0.346,0.304
Ｔ－岡田,4,9,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0.125,0.125,0.222
トーマス,10,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0,0.0,0.0
富山凌雅,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
頓宮裕真,81,290,249,17,49,7,1,7,79,30,0,0,0,2,32,1,7,57,8,0.197,0.317,0.303
内藤鵬,7,21,20,0,2,1,0,0,3,0,0,0,0,0,0,0,1,9,0,0.1,0.15,0.143
