選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
浅村栄斗,143,552,471,51,119,19,0,14,180,60,1,2,0,9,68,4,4,101,12,0.253,0.382,0.346
阿部寿樹,78,254,229,19,52,13,2,9,96,32,0,2,4,0,20,0,1,54,3,0.227,0.419,0.292
石原彪,68,172,146,9,25,5,0,4,42,13,0,0,13,0,13,0,0,50,4,0.171,0.288,0.239
伊藤茉央,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
伊藤裕季也,44,125,115,10,30,6,1,2,44,10,0,1,4,0,5,0,1,34,2,0.261,0.383,0.298
入江大樹,5,14,12,2,5,0,0,0,5,0,0,0,1,0,1,0,0,3,0,0.417,0.417,0.462
内星龍,20,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
太田光,94,269,230,23,45,10,3,2,67,23,2,0,23,1,13,1,2,58,1,0.196,0.291,0.244
岡島豪郎,31,93,80,6,16,1,1,1,22,6,0,1,1,0,11,1,1,15,3,0.2,0.275,0.304
小郷裕哉,143,642,565,64,145,24,6,7,202,49,32,5,1,5,68,3,3,120,6,0.257,0.358,0.337
岸孝之,22,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.5
黒川史陽,22,60,56,8,13,1,0,1,17,8,0,0,0,0,4,0,0,12,2,0.232,0.304,0.283
古謝樹,15,3,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0.0,0.0,0.0
小深田大翔,134,522,450,50,103,9,4,3,129,23,29,10,25,3,42,0,2,84,5,0.229,0.287,0.296
小孫竜二,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
酒居知史,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
坂井陽翔,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
櫻井周斗,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
島内宏明,40,154,131,8,28,3,1,0,33,12,0,0,0,3,16,0,3,16,4,0.214,0.252,0.307
荘司康誠,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
鈴木翔天,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
鈴木大地,123,460,406,41,108,11,5,4,141,41,0,0,15,3,23,0,13,43,4,0.266,0.347,0.324
清宮虎多朗,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
宋家豪,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ターリー,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
平良竜哉,18,24,21,4,3,0,0,0,3,3,0,1,1,0,2,0,0,3,0,0.143,0.143,0.217
高田孝一,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
瀧中瞭太,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
辰見鴻之介,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
辰己涼介,143,597,537,68,158,22,12,7,225,58,20,2,2,6,44,2,8,108,10,0.294,0.419,0.353
田中和基,68,34,31,8,4,1,0,0,5,1,0,0,3,0,0,0,0,9,0,0.129,0.161,0.129
田中貴也,17,12,10,0,1,0,0,0,1,0,0,0,0,0,2,0,0,4,1,0.1,0.1,0.25
田中将大,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
津留﨑大成,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
中島大輔,37,128,123,18,28,8,1,1,41,10,1,0,0,0,2,0,3,21,2,0.228,0.333,0.258
西垣雅矢,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
則本昂大,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
早川隆久,25,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.333,0.333,0.333
日當直喜,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
フランコ,68,243,229,20,50,5,0,8,79,30,0,0,0,3,9,0,2,49,7,0.218,0.345,0.251
藤井聖,22,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.25,0.25,0.25
藤平尚真,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ポンセ,15,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0.0,0.0,0.0
堀内謙伍,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
松井友飛,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
松田啄磨,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
宮森智志,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
武藤敦貴,7,5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0.2,0.2,0.2
村林一輝,139,571,518,51,125,13,3,6,162,50,5,1,23,7,21,0,2,91,11,0.241,0.313,0.27
茂木栄五郎,46,75,68,6,18,4,1,1,27,8,0,0,1,1,5,0,0,13,0,0.265,0.397,0.311
安田悠馬,34,128,122,12,32,6,0,2,44,9,0,0,0,0,6,0,0,38,1,0.262,0.361,0.297
山﨑剛,5,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
山田遥楓,25,27,25,2,4,2,0,0,6,1,0,0,0,0,2,0,0,10,0,0.16,0.24,0.222
弓削隼人,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
吉川雄大,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
渡辺翔太,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
渡邊佳明,47,154,136,9,34,2,0,0,36,11,0,0,5,2,11,1,0,26,3,0.25,0.265,0.302
