選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
淺間大基,49,126,109,16,30,4,1,1,39,11,4,2,4,2,9,0,2,35,0,0.275,0.358,0.336
池田隆英,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
石井一成,68,219,197,20,46,11,1,4,71,18,2,3,9,0,12,0,1,42,2,0.234,0.36,0.281
五十幡亮汰,94,127,112,38,18,2,1,0,22,3,18,9,8,0,6,0,1,34,1,0.161,0.196,0.21
伊藤大海,26,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0.25,0.25
今川優馬,6,19,19,1,4,1,0,0,5,0,0,2,0,0,0,0,0,5,0,0.211,0.263,0.211
上原健太,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
梅林優貴,3,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0.0,0.0,0.0
江越大賀,19,10,10,1,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0.0,0.0,0.0
鍵谷陽平,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
加藤豪将,28,63,58,1,10,1,0,0,11,1,0,0,0,0,5,0,0,11,1,0.172,0.19,0.238
加藤貴之,27,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0
金村尚真,29,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
上川畑大悟,106,305,258,25,64,4,2,1,75,16,5,0,18,1,22,0,6,40,4,0.248,0.291,0.321
河野竜生,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
北浦竜次,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
北山亘基,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
清宮幸太郎,89,329,290,43,87,18,1,15,152,51,1,3,0,3,31,3,5,62,5,0.3,0.524,0.374
黒木優太,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
畔柳亨丞,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
郡司裕也,127,495,441,52,113,14,0,12,163,49,2,2,6,4,40,1,4,71,6,0.256,0.37,0.321
ザバラ,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
齋藤友貴哉,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
清水優心,12,15,14,1,2,1,0,0,3,1,0,0,1,0,0,0,0,5,0,0.143,0.214,0.143
進藤勇也,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
スティーブンソン,24,63,62,3,10,2,0,0,12,0,1,2,0,0,1,0,0,24,5,0.161,0.194,0.175
杉浦稔大,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
鈴木健矢,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
達孝太,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
田中瑛斗,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
田中正義,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
田宮裕涼,109,349,307,28,85,12,2,3,110,30,10,4,11,3,21,1,7,71,10,0.277,0.358,0.334
中島卓也,46,41,39,12,8,1,0,0,9,2,4,4,0,0,2,0,0,9,0,0.205,0.231,0.244
生田目翼,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
奈良間大己,90,150,139,10,25,4,0,0,29,7,2,0,8,1,2,0,0,39,2,0.18,0.209,0.19
根本悠楓,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
野村佑希,56,152,143,8,30,7,1,2,45,9,2,0,0,1,7,1,1,28,4,0.21,0.315,0.25
バーヘイゲン,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
福島蓮,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
福田光輝,5,14,14,1,5,2,0,0,7,2,0,0,0,0,0,0,0,4,0,0.357,0.5,0.357
福田俊,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
伏見寅威,62,184,165,9,40,5,0,0,45,21,0,0,12,1,4,0,2,26,3,0.242,0.273,0.267
古川裕大,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0.0,0.333
細川凌平,51,64,54,4,12,1,0,0,13,5,3,1,4,2,4,0,0,11,0,0.222,0.241,0.267
細野晴希,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
堀瑞輝,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
マーフィー,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
マルティネス,126,459,393,42,92,20,4,13,159,57,2,1,0,4,51,3,11,101,12,0.234,0.405,0.336
松浦慶斗,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
松本剛,127,486,437,46,103,18,1,1,126,19,20,8,17,4,24,2,4,52,17,0.236,0.288,0.279
万波中正,136,556,508,60,128,34,0,18,216,60,2,3,1,3,39,3,5,120,13,0.252,0.425,0.31
水谷瞬,97,353,327,41,94,18,3,9,145,39,4,1,1,1,21,2,3,79,3,0.287,0.443,0.335
水野達稀,105,359,332,30,73,8,8,7,118,37,9,5,12,1,13,1,1,81,2,0.22,0.355,0.251
宮崎一樹,4,6,5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0.2,0.2,0.333
宮西尚生,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
矢澤宏太,28,19,18,0,2,0,0,0,2,0,0,0,1,0,0,0,0,5,1,0.111,0.111,0.111
柳川大晟,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
山﨑福也,24,7,6,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.167,0.167,0.286
山本拓実,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
レイエス,103,368,335,39,97,15,1,25,189,65,0,0,0,2,31,4,0,90,9,0.29,0.564,0.348
ロドリゲス,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
