選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
有原航平,26,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0,0.0
石川柊太,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
石塚綜一郎,15,40,31,2,6,0,0,1,9,6,0,0,0,1,3,0,4,10,0,0.194,0.29,0.333
井上朋也,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,0.0,0.0
今宮健太,133,538,462,60,121,25,4,6,172,39,1,0,25,2,46,2,3,87,9,0.262,0.372,0.331
岩井俊介,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ウォーカー,20,66,65,2,11,3,0,1,17,3,1,0,0,0,0,0,1,19,1,0.169,0.262,0.182
海野隆司,51,120,104,10,18,5,0,2,29,10,0,0,9,0,6,0,1,30,3,0.173,0.279,0.225
オスナ,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
大関友久,20,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.25,0.25,0.25
大津亮介,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
大山凌,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
尾形崇斗,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
緒方理貢,86,62,52,19,9,1,1,0,12,4,4,1,3,0,7,0,0,10,2,0.173,0.231,0.271
甲斐拓也,119,392,344,34,88,25,0,5,128,43,1,1,14,2,31,0,1,89,6,0.256,0.372,0.317
川瀬晃,105,156,138,17,36,2,2,0,42,7,2,2,10,1,7,1,0,24,0,0.261,0.304,0.295
川村友斗,88,140,123,27,33,8,2,1,48,14,3,1,3,1,10,0,3,43,1,0.268,0.39,0.336
木村光,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
栗原陵矢,140,598,527,74,144,40,2,20,248,87,2,1,10,7,49,1,5,99,10,0.273,0.471,0.337
近藤健介,129,535,436,66,137,29,2,19,227,72,11,1,0,1,92,11,6,76,10,0.314,0.521,0.439
笹川吉康,7,21,21,3,6,0,0,1,9,2,2,1,0,0,0,0,0,6,0,0.286,0.429,0.286
佐藤直樹,44,93,84,7,16,3,1,0,21,6,3,3,1,1,4,0,3,30,0,0.19,0.25,0.25
澤柳亮太郎,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
周東佑京,123,477,428,63,115,15,5,2,146,26,41,13,10,3,26,0,10,90,4,0.269,0.341,0.323
スチュワート・ジュニア,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
杉山一樹,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ダウンズ,7,26,22,3,6,0,0,1,9,2,1,0,0,0,2,0,2,1,0,0.273,0.409,0.385
田浦文丸,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
谷川原健太,4,10,9,3,4,1,1,0,7,2,0,0,0,0,0,0,1,2,0,0.444,0.778,0.5
津森宥紀,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
仲田慶介,24,16,14,2,3,0,0,0,3,0,0,0,1,0,1,0,0,3,1,0.214,0.214,0.267
中村晃,101,203,181,15,40,4,0,0,44,16,0,1,1,1,19,1,1,24,6,0.221,0.243,0.297
中村亮太,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
野村勇,38,50,43,9,5,0,0,0,5,1,4,0,1,0,6,1,0,18,1,0.116,0.116,0.224
野村大樹,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
長谷川威展,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
東浜巨,11,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.333
廣瀨隆太,35,111,103,9,24,4,0,2,34,9,0,1,0,1,5,0,2,17,6,0.233,0.33,0.279
藤井皓哉,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ヘルナンデス,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
前田純,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
前田悠伍,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
牧原大成,78,259,240,26,68,7,4,2,89,13,6,4,9,1,8,0,1,41,2,0.283,0.371,0.308
正木智也,80,282,263,21,71,21,0,7,113,29,1,0,1,2,11,0,5,65,4,0.27,0.43,0.31
又吉克樹,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
松本晴,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
松本裕樹,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
三浦瑞樹,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
嶺井博希,4,6,6,2,3,0,0,1,6,3,0,0,0,0,0,0,0,1,0,0.5,1.0,0.5
三森大貴,25,71,66,6,19,2,0,1,24,13,2,1,1,0,4,0,0,10,1,0.288,0.364,0.329
村田賢一,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
モイネロ,25,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.25,0.25,0.25
柳田悠岐,52,225,185,31,53,7,1,4,74,35,3,0,0,2,35,3,3,36,2,0.286,0.4,0.404
柳町達,73,237,216,26,58,11,5,4,91,40,1,0,4,2,14,0,1,65,4,0.269,0.421,0.313
山川穂高,143,611,550,66,136,26,1,34,266,99,0,0,0,3,48,3,10,158,17,0.247,0.484,0.318
吉田賢吾,10,27,26,2,5,0,0,0,5,2,0,0,0,1,0,0,0,4,0,0.192,0.192,0.185
リチャード,15,33,31,0,7,3,0,0,10,1,0,0,0,0,1,0,1,12,3,0.226,0.323,0.273
和田毅,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
