選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
アギラー,30,124,113,7,23,5,0,2,34,10,0,0,0,0,9,0,2,31,3,0.204,0.301,0.274
アブレイユ,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
青山美夏人,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
糸川亮太,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
今井達也,25,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.25
上田大河,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
岡田雅利,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.0,2.0,1.0
奥村光一,45,84,79,3,14,2,0,0,16,3,2,3,1,0,2,0,2,12,1,0.177,0.203,0.217
ガルシア,19,69,61,3,8,5,0,1,16,4,0,0,0,0,7,1,1,26,2,0.131,0.262,0.232
甲斐野央,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
金子侑司,37,141,128,14,27,1,0,2,34,8,3,2,1,0,12,0,0,23,1,0.211,0.266,0.279
岸潤一郎,98,311,287,25,62,9,2,6,93,25,4,5,7,0,14,0,3,50,7,0.216,0.324,0.26
栗山巧,60,154,124,8,28,7,1,1,40,12,0,0,0,2,26,1,2,23,1,0.226,0.323,0.364
源田壮亮,143,577,522,41,138,15,7,3,176,21,12,4,20,2,32,2,1,75,4,0.264,0.337,0.307
コルデロ,23,73,70,5,9,2,0,1,14,4,0,0,0,1,2,0,0,24,0,0.129,0.2,0.151
古賀悠斗,105,279,246,16,56,3,1,3,70,12,0,0,13,0,20,0,0,58,8,0.228,0.285,0.286
児玉亮涼,32,58,50,3,9,2,2,0,15,2,5,0,2,0,5,0,1,9,2,0.18,0.3,0.268
佐藤隼輔,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
佐藤龍世,93,345,295,25,72,20,1,7,115,34,0,4,3,6,37,1,4,70,10,0.244,0.39,0.33
