選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
愛斗,52,76,69,4,13,2,0,0,15,3,0,0,2,0,4,0,1,14,3,0.188,0.217,0.243
東妻勇輔,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
池田来翔,21,46,45,2,5,2,0,0,7,1,0,0,0,0,1,0,0,7,2,0.111,0.156,0.13
石川歩,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
石川慎吾,33,93,90,2,19,3,0,1,25,5,0,0,0,0,3,0,0,19,3,0.211,0.278,0.237
岩下大輝,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
上田希由翔,21,64,58,3,15,3,0,0,18,7,0,0,1,1,2,0,2,9,0,0.259,0.31,0.302
大下誠一郎,22,22,20,1,3,1,0,0,4,1,0,0,1,0,1,0,0,4,0,0.15,0.2,0.19
大谷輝龍,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
岡大海,103,420,362,52,104,28,2,7,157,33,11,3,4,3,44,6,7,64,9,0.287,0.434,0.373
小川龍成,119,313,261,33,63,2,0,0,65,21,10,1,20,2,30,1,0,52,2,0.241,0.249,0.317
荻野貴司,80,213,197,25,55,6,1,1,66,15,0,0,4,0,10,1,2,15,6,0.279,0.335,0.321
小島和哉,25,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0,0.0
小野郁,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
カイケル,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
柿沼友哉,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
角中勝也,84,217,189,21,53,12,2,3,78,20,0,0,1,2,24,1,1,37,4,0.28,0.413,0.361
唐川侑己,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
菊地吏玖,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
国吉佑樹,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
コルデロ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
坂本光士郎,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
佐々木朗希,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
佐藤都志也,116,452,410,41,114,20,0,5,149,45,4,1,4,6,29,2,3,51,10,0.278,0.363,0.326
澤田圭佑,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
澤村拓一,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
鈴木昭汰,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ソト,132,542,491,43,132,22,2,21,221,88,0,0,0,4,42,2,5,136,19,0.269,0.45,0.33
ダイクストラ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
高野脩汰,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
髙部瑛斗,76,287,260,37,78,12,3,1,99,23,10,4,5,2,19,2,1,43,3,0.3,0.381,0.348
田中晴也,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
種市篤暉,23,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0.0,0.0,0.0
田村龍弘,51,160,140,11,28,10,0,0,38,14,0,0,4,2,14,0,0,27,2,0.2,0.271,0.269
茶谷健太,88,76,72,5,12,1,0,0,13,4,0,0,2,1,1,0,0,18,1,0.167,0.181,0.176
寺地隆成,2,7,7,0,1,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0.143,0.286,0.143
友杉篤輝,125,393,355,33,73,10,0,0,83,15,11,2,19,2,17,0,0,52,5,0.206,0.234,0.241
中村奨吾,120,433,376,36,88,18,0,4,118,27,2,2,11,0,41,0,5,75,15,0.234,0.314,0.318
中村稔弥,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
中森俊介,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
西野勇士,20,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
西村天裕,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
二保旭,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
廣畑敦也,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
藤岡裕大,90,369,312,31,80,13,1,5,110,29,0,0,7,2,46,1,2,58,4,0.256,0.353,0.354
藤原恭大,74,264,231,30,67,8,4,2,89,21,4,1,3,2,25,0,3,39,2,0.29,0.385,0.364
ポランコ,118,468,416,47,101,21,0,23,191,60,0,0,0,4,46,2,2,86,5,0.243,0.459,0.318
益田直也,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
松川虎生,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.25,0.25,0.25
美馬学,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
メルセデス,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
八木彬,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
安田尚憲,55,174,158,14,36,13,0,0,49,15,0,0,0,3,13,0,0,48,4,0.228,0.31,0.282
山口航輝,51,181,170,10,34,8,0,2,48,13,1,0,0,0,10,0,1,30,6,0.2,0.282,0.249
山本大斗,5,19,18,0,2,1,0,0,3,0,0,0,0,0,1,0,0,4,0,0.111,0.167,0.158
