選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
青木宣親,72,129,118,9,27,5,0,0,32,9,2,0,0,1,10,2,0,17,7,0.229,0.271,0.287
赤羽由紘,36,65,58,4,14,2,0,2,22,6,4,0,4,1,1,0,1,16,0,0.241,0.379,0.262
石川雅規,9,12,9,0,1,0,0,0,1,0,0,0,3,0,0,0,0,4,0,0.111,0.111,0.111
石原勇輝,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
石山泰稚,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
伊藤琉偉,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
岩田幸宏,81,140,123,19,28,2,0,1,33,7,10,0,9,0,6,2,2,22,2,0.228,0.268,0.275
内山壮真,24,54,52,2,10,1,0,0,11,3,1,0,0,0,1,0,1,13,2,0.192,0.212,0.222
エスパーダ,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
オスナ,141,585,539,54,144,28,0,17,223,72,0,3,0,3,40,3,3,91,24,0.267,0.414,0.32
太田賢吾,18,50,49,5,10,1,1,0,13,5,0,0,0,0,1,0,0,14,0,0.204,0.265,0.22
大西広樹,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
小川泰弘,12,25,18,1,3,0,0,0,3,2,0,0,6,0,1,0,0,5,1,0.167,0.167,0.211
奥川恭伸,7,10,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0.0,0.0,0.0
尾仲祐哉,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
金久保優斗,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
嘉弥真新也,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
川端慎吾,61,61,58,1,13,0,0,0,13,6,0,0,0,0,2,0,1,9,1,0.224,0.224,0.262
木澤尚文,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
北村拓己,48,49,40,2,5,0,0,1,8,4,2,1,1,2,5,0,1,8,2,0.125,0.2,0.229
小澤怜史,40,15,13,0,2,0,0,0,2,0,0,0,2,0,0,0,0,4,0,0.154,0.154,0.154
小森航大郎,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
今野龍太,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
サイスニード,24,36,28,1,3,1,0,0,4,1,0,0,8,0,0,0,0,12,0,0.107,0.143,0.107
サンタナ,122,484,419,57,132,29,0,17,212,70,2,1,0,4,57,1,4,101,8,0.315,0.506,0.399
阪口皓亮,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0,0.0
澤井廉,12,27,25,1,4,0,0,1,7,4,0,0,1,0,0,0,1,12,0,0.16,0.28,0.192
塩見泰隆,31,113,101,15,27,3,0,3,39,8,3,0,0,1,9,3,2,16,1,0.267,0.386,0.336
柴田大地,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
清水昇,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
鈴木叶,2,4,4,0,2,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0.5,0.5,0.5
高梨裕稔,8,10,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0.0,0.0,0.0
高橋奎二,21,40,38,2,6,0,0,0,6,0,0,0,1,0,1,0,0,16,0,0.158,0.158,0.179
田口麗斗,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
武岡龍世,76,147,130,16,23,2,1,3,36,9,1,0,6,1,10,1,0,33,2,0.177,0.277,0.234
長岡秀樹,143,611,566,63,163,25,1,6,208,58,4,1,10,3,29,2,3,70,6,0.288,0.367,0.324
中村悠平,96,353,291,16,69,9,0,0,78,23,0,0,26,2,30,5,4,54,7,0.237,0.268,0.315
並木秀尊,33,49,43,15,10,1,0,1,14,5,10,0,5,0,1,0,0,7,4,0.233,0.326,0.25
西川遥輝,113,363,308,43,80,13,2,1,100,24,10,2,3,6,40,1,6,51,3,0.26,0.325,0.35
西田明央,24,24,22,0,3,1,0,0,4,2,0,0,0,1,1,0,0,2,1,0.136,0.182,0.167
橋本星哉,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
長谷川宙輝,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
濱田太貴,10,28,26,0,2,0,0,0,2,1,0,0,1,0,1,0,0,8,1,0.077,0.077,0.111
原樹理,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
星知弥,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
増田珠,52,102,92,8,19,4,0,2,29,6,0,1,4,0,5,0,1,22,2,0.207,0.315,0.255
松本健吾,3,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0.0,0.0,0.0
松本直樹,60,142,134,5,36,7,0,1,46,11,1,0,3,1,4,0,0,18,3,0.269,0.343,0.288
丸山和郁,96,296,253,30,61,7,1,0,70,12,4,2,17,0,24,1,2,49,2,0.241,0.277,0.312
丸山翔大,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
宮川哲,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
宮本丈,60,164,147,12,38,3,0,0,41,6,1,0,4,1,11,0,1,25,3,0.259,0.279,0.313
村上宗隆,143,610,500,82,122,13,1,33,236,86,10,5,0,1,105,9,4,180,6,0.244,0.472,0.379
ヤフーレ,23,40,36,0,1,0,0,0,1,0,0,0,4,0,0,0,0,18,1,0.028,0.028,0.028
山崎晃大朗,22,39,30,4,4,0,0,0,4,1,1,0,6,0,3,0,0,13,0,0.133,0.133,0.212
山田哲人,110,385,340,38,77,14,1,14,135,39,1,0,0,4,36,1,5,86,6,0.226,0.397,0.306
山野太一,14,14,10,0,0,0,0,0,0,1,0,0,4,0,0,0,0,5,0,0.0,0.0,0.0
山本大貴,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
吉村貢司郎,23,48,42,1,2,0,0,0,2,0,0,0,4,0,2,0,0,19,1,0.048,0.048,0.091
ロドリゲス,32,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0
