選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
東晃平,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
阿部翔太,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
井口和朋,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
石川亮,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
入山海斗,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
岩嵜翔,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
エスピノーザ,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
オリバレス,11,35,33,1,6,1,0,0,7,0,1,0,0,0,2,0,0,8,0,0.182,0.212,0.229
大里昂生,32,86,71,10,17,0,1,0,19,6,4,2,4,1,10,0,0,11,0,0.239,0.268,0.329
大城滉二,52,62,54,9,14,0,0,0,14,4,1,0,3,0,5,0,0,15,0,0.259,0.259,0.322
太田椋,90,405,363,35,109,10,0,8,143,47,0,2,6,4,27,3,5,85,8,0.3,0.394,0.353
片山楽生,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
川瀬堅斗,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
来田涼斗,40,111,102,12,25,4,0,2,35,5,4,0,2,1,6,0,0,28,1,0.245,0.343,0.284
九里亜蓮,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
紅林弘太郎,91,356,323,27,81,12,1,6,113,30,0,2,1,4,25,2,3,41,9,0.251,0.35,0.307
元謙太,31,10,7,6,1,0,0,0,1,0,0,0,1,0,2,0,0,3,0,0.143,0.143,0.333
古田島成龍,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
権田琉成,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
才木海翔,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
佐藤一磨,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
杉澤龍,14,16,15,0,3,1,0,0,4,2,0,1,1,0,0,0,0,4,0,0.2,0.267,0.2
杉本裕太郎,99,385,338,40,88,14,1,14,146,47,1,0,0,6,34,1,7,104,6,0.26,0.432,0.335
曽谷龍平,17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
髙島泰都,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
田嶋大樹,15,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
茶野篤政,3,12,12,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.167
ディアス,50,138,127,6,29,4,0,2,39,6,0,0,0,0,11,0,0,31,5,0.228,0.307,0.29
寺西成騎,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
東松快征,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
富山凌雅,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
頓宮裕真,107,441,397,32,101,16,0,10,147,48,1,0,0,4,36,2,4,62,8,0.254,0.37,0.32
中川圭太,96,379,356,49,106,22,1,12,166,50,9,2,3,3,17,1,0,45,7,0.298,0.466,0.327
西川龍馬,80,346,324,27,100,20,1,5,137,36,4,1,4,1,15,2,2,51,5,0.309,0.423,0.342
西野真弘,54,181,162,16,43,4,2,4,63,21,0,0,6,0,12,0,1,10,2,0.265,0.389,0.32
野口智哉,33,64,55,10,8,5,1,1,18,3,0,1,0,0,6,0,3,16,0,0.145,0.327,0.266
平野佳寿,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
廣岡大志,91,341,299,38,79,10,1,6,109,23,9,4,7,2,33,0,0,68,7,0.264,0.365,0.335
博志,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
福田周平,23,64,54,2,9,1,0,0,10,3,1,0,6,0,4,0,0,9,2,0.167,0.185,0.224
福永奨,35,70,63,3,9,2,1,0,13,4,0,0,1,1,4,0,1,23,1,0.143,0.206,0.203
ペルドモ,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
本田圭佑,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
マチャド,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
宮城大弥,18,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.25
麦谷祐介,61,117,104,18,26,3,2,1,36,8,11,5,1,0,11,0,1,29,0,0.25,0.346,0.328
