選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
アドゥワ誠,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
會澤翼,20,43,34,4,5,1,0,0,6,1,0,1,2,0,5,2,2,12,0,0.147,0.176,0.293
秋山翔吾,49,125,115,7,30,5,0,1,38,4,0,0,1,0,7,0,2,23,1,0.261,0.33,0.315
石原貴規,39,89,83,2,13,2,0,0,15,3,0,0,5,0,0,0,1,24,3,0.157,0.181,0.167
磯村嘉孝,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
上本崇司,20,30,26,1,5,1,0,0,6,0,0,0,2,0,2,0,0,8,1,0.192,0.231,0.25
遠藤淳志,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
大瀬良大地,18,33,28,0,2,0,0,0,2,0,0,0,5,0,0,0,0,13,0,0.071,0.071,0.071
大盛穂,76,126,119,25,34,5,1,3,50,11,6,2,1,0,6,0,0,32,1,0.286,0.42,0.32
岡本駿,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
菊池涼介,88,311,281,22,67,14,0,3,90,24,5,2,16,2,11,0,1,50,5,0.238,0.32,0.268
久保修,12,7,7,0,1,1,0,0,2,0,1,1,0,0,0,0,0,2,0,0.143,0.286,0.143
栗林良吏,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
小園海斗,105,440,400,39,118,22,3,2,152,35,9,5,3,1,34,5,2,36,7,0.295,0.38,0.352
斉藤優汰,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
坂倉将吾,79,305,268,24,66,21,1,3,98,24,1,0,4,1,30,2,2,52,4,0.246,0.366,0.326
佐々木泰,18,57,57,1,13,1,1,0,16,0,2,0,0,0,0,0,0,11,1,0.228,0.281,0.228
佐藤柳之介,5,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.25,0.25,0.25
島内颯太郎,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
末包昇大,96,388,354,34,90,12,3,10,138,52,2,3,0,2,31,0,1,74,3,0.254,0.39,0.314
鈴木健矢,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
髙太一,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
高橋昂也,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
滝田一希,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
田中広輔,14,40,30,2,5,0,0,0,5,0,0,2,0,0,9,1,1,6,0,0.167,0.167,0.375
玉村昇悟,15,21,19,1,1,0,0,0,1,2,0,0,1,0,1,0,0,12,0,0.053,0.053,0.1
田村俊介,25,69,63,5,16,0,1,1,21,4,0,1,0,0,6,1,0,14,1,0.254,0.333,0.319
辻大雅,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ドミンゲス,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0,0.0,0.0
堂林翔太,44,77,70,5,13,6,0,1,22,4,0,0,1,0,6,1,0,23,3,0.186,0.314,0.25
床田寛樹,20,45,43,3,9,1,0,0,10,0,0,0,2,0,0,0,0,11,1,0.209,0.233,0.209
中﨑翔太,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
中村健人,4,10,6,1,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0.0,0.0,0.4
中村奨成,68,208,196,22,54,10,3,5,85,17,1,5,1,0,10,1,1,29,1,0.276,0.434,0.314
野間峻祥,69,156,144,9,35,2,2,0,41,14,2,1,0,1,10,1,1,26,1,0.243,0.285,0.295
ハーン,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
長谷部銀次,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
羽月隆太郎,55,79,68,17,18,1,1,0,21,3,13,4,0,0,11,1,0,21,0,0.265,0.309,0.367
林晃汰,17,34,33,2,6,0,0,2,12,4,0,0,0,0,1,1,0,12,0,0.182,0.364,0.206
ファビアン,106,442,417,48,114,24,0,13,177,50,2,3,0,2,16,3,7,66,6,0.273,0.424,0.31
二俣翔一,45,123,112,11,20,4,0,3,33,5,1,1,2,0,8,1,1,28,2,0.179,0.295,0.24
塹江敦哉,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
前川誠太,9,22,22,0,5,2,0,0,7,5,0,0,0,0,0,0,0,2,1,0.227,0.318,0.227
益田武尚,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
松本竜也,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
モンテロ,75,278,261,15,67,16,0,7,104,27,0,0,0,2,13,2,2,60,10,0.257,0.398,0.295
森翔平,17,29,25,1,5,1,0,0,6,2,0,0,4,0,0,0,0,13,0,0.2,0.24,0.2
森浦大輔,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
森下暢仁,21,48,42,1,4,0,0,0,4,0,0,0,4,0,2,0,0,19,0,0.095,0.095,0.136
矢野雅哉,93,309,264,21,56,6,1,1,67,17,2,3,15,1,25,1,4,62,1,0.212,0.254,0.289
山足達也,11,14,9,2,1,0,0,0,1,1,0,0,3,0,2,0,0,0,1,0.111,0.111,0.273
