選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
石伊雄太,82,259,226,17,52,9,0,3,70,21,0,1,14,2,14,1,3,60,5,0.23,0.31,0.282
石川昂弥,22,75,72,6,10,2,0,1,15,5,0,1,0,0,2,0,1,27,1,0.139,0.208,0.173
石橋康太,10,12,8,0,1,0,0,0,1,1,0,0,1,0,3,0,0,3,0,0.125,0.125,0.364
板山祐太郎,79,188,174,17,37,5,2,2,52,10,0,0,2,1,10,1,1,47,4,0.213,0.299,0.258
伊藤茉央,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
岩嵜翔,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ウォルターズ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
上林誠知,129,502,472,51,128,20,4,16,204,49,27,4,6,1,19,7,4,99,3,0.271,0.432,0.304
鵜飼航丞,26,43,43,0,7,0,0,0,7,1,1,0,0,0,0,0,0,11,1,0.163,0.163,0.163
宇佐見真吾,20,41,34,2,4,0,0,0,4,1,0,0,1,0,6,2,0,13,1,0.118,0.118,0.25
梅野雄吾,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
大島洋平,59,98,95,8,23,0,0,0,23,4,4,0,0,0,3,0,0,14,0,0.242,0.242,0.265
大野雄大,20,41,32,0,1,0,0,0,1,0,0,0,8,0,1,0,0,19,0,0.031,0.031,0.061
岡田俊哉,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
岡林勇希,137,610,553,67,154,22,8,5,207,35,16,4,4,3,49,9,1,53,1,0.278,0.374,0.337
尾田剛樹,28,5,5,7,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0.0,0.0,0.0
カリステ,61,192,176,13,40,9,1,1,54,14,1,1,1,3,12,0,0,37,4,0.227,0.307,0.272
勝野昌慶,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
加藤匠馬,46,71,61,4,14,0,0,1,17,6,0,0,8,0,2,1,0,17,1,0.23,0.279,0.254
金丸夢斗,14,25,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0.0,0.0,0.0
川越誠司,28,43,37,2,7,1,0,0,8,0,0,0,0,0,4,0,2,12,0,0.189,0.216,0.302
木下拓哉,38,122,112,7,27,3,0,2,36,8,0,0,2,0,8,2,0,20,3,0.241,0.321,0.292
近藤廉,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
齋藤綱記,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
佐藤龍世,23,77,66,5,13,3,0,0,16,3,1,0,2,1,8,1,0,20,2,0.197,0.242,0.28
清水達也,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
駿太,22,18,17,2,4,0,0,0,4,0,0,1,1,0,0,0,0,7,0,0.235,0.235,0.235
祖父江大輔,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
高橋周平,41,101,94,1,22,5,0,0,27,8,0,0,0,0,7,1,0,21,2,0.234,0.287,0.287
髙橋宏斗,25,51,42,1,4,0,0,0,4,0,0,0,8,0,1,0,0,17,0,0.095,0.095,0.116
田中幹也,90,349,303,31,83,13,1,1,101,21,12,2,21,2,21,1,2,34,2,0.274,0.333,0.323
