選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
東克樹,21,46,33,2,6,1,0,0,7,3,0,0,9,0,4,0,0,13,0,0.182,0.212,0.27
東妻純平,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0
石上泰輝,57,92,81,9,16,4,0,1,23,8,1,2,1,0,10,1,0,26,2,0.198,0.284,0.286
石田裕太郎,17,21,19,1,1,0,0,0,1,0,0,0,2,0,0,0,0,8,0,0.053,0.053,0.053
伊勢大夢,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
伊藤光,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0
井上絢登,12,31,29,2,5,0,0,2,11,7,0,0,0,1,1,0,0,6,0,0.172,0.379,0.194
入江大生,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
岩田将貴,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ウィック,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
蝦名達夫,97,314,276,37,74,16,1,5,107,27,4,3,4,6,19,1,9,55,5,0.268,0.388,0.329
オースティン,54,207,184,28,45,8,0,8,77,22,0,0,0,0,22,5,1,40,7,0.245,0.418,0.329
大貫晋一,11,18,18,2,2,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0.111,0.111,0.111
梶原昂希,61,170,163,21,40,9,1,2,57,10,6,3,0,1,4,0,2,51,1,0.245,0.35,0.271
勝又温史,7,9,9,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0.333,0.333,0.333
神里和毅,47,17,16,3,5,0,1,0,7,0,2,0,0,0,1,0,0,5,0,0.313,0.438,0.353
京田陽太,78,204,189,19,42,5,1,1,52,14,1,0,2,1,8,2,4,57,3,0.222,0.275,0.267
九鬼隆平,12,12,12,0,3,0,1,0,5,0,0,0,0,0,0,0,0,3,0,0.25,0.417,0.25
桑原将志,89,372,332,36,89,13,2,4,118,18,9,0,7,0,27,1,6,48,4,0.268,0.355,0.334
ケイ,20,42,31,1,3,0,0,0,3,0,0,0,10,0,1,0,0,16,0,0.097,0.097,0.125
小園健太,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
坂本裕哉,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
佐々木千隼,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
佐野恵太,122,503,468,38,128,22,0,13,189,60,0,0,0,3,29,1,3,55,10,0.274,0.404,0.318
ジャクソン,22,44,36,1,2,0,0,1,5,5,0,0,6,0,2,0,0,23,0,0.056,0.139,0.105
篠木健太郎,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
柴田竜拓,55,26,17,3,2,0,0,0,2,0,1,1,5,0,4,0,0,5,0,0.118,0.118,0.286
関根大気,9,23,23,2,4,3,0,0,7,1,0,0,0,0,0,0,0,2,1,0.174,0.304,0.174
平良拳太郎,10,16,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0.0,0.0,0.0
竹田祐,3,7,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0.0,0.0,0.0
知野直人,8,20,17,3,3,1,0,1,7,2,0,1,0,0,3,0,0,2,0,0.176,0.412,0.3
筒香嘉智,58,186,165,20,34,9,0,15,88,24,0,0,0,0,21,2,0,49,4,0.206,0.533,0.296
戸柱恭孝,41,91,86,4,20,4,0,2,30,6,0,0,1,2,2,0,0,14,3,0.233,0.349,0.244
中川虎大,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
