選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
浅村栄斗,91,372,317,26,77,12,1,9,118,34,1,0,0,1,48,4,6,79,10,0.243,0.372,0.352
阿部寿樹,43,129,105,11,23,5,1,3,39,8,1,1,1,1,22,0,0,31,1,0.219,0.371,0.352
石原彪,29,34,29,1,3,0,0,0,3,3,0,0,3,0,2,0,0,10,0,0.103,0.103,0.161
伊藤裕季也,49,125,113,7,24,8,1,1,37,7,2,0,1,1,9,1,1,32,2,0.212,0.327,0.274
入江大樹,4,10,10,0,1,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0.1,0.1,0.1
内星龍,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
江原雅裕,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
大内誠弥,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
太田光,106,219,177,13,30,6,2,1,43,12,0,0,14,1,22,0,5,44,6,0.169,0.243,0.278
小郷裕哉,90,193,173,18,30,7,2,2,47,12,11,0,1,2,16,1,1,54,0,0.173,0.272,0.245
加治屋蓮,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
辛島航,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
岸孝之,18,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0.0,0.0,0.0
黒川史陽,78,321,282,29,87,8,1,4,109,32,1,1,2,3,32,2,2,51,4,0.309,0.387,0.379
ゴンザレス,53,208,201,18,46,5,1,4,65,19,0,2,0,1,4,1,2,37,10,0.229,0.323,0.25
古謝樹,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
小深田大翔,120,355,298,35,65,5,2,1,77,14,28,8,15,1,40,0,1,65,1,0.218,0.258,0.312
小森航大郎,33,80,76,8,15,1,0,1,19,3,5,0,0,1,2,0,1,21,1,0.197,0.25,0.225
今野龍太,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
柴田大地,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
島内宏明,5,11,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0.0,0.0,0.091
荘司康誠,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
鈴木翔天,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
鈴木大地,89,191,168,13,41,3,2,2,54,23,1,0,0,1,11,1,11,29,5,0.244,0.321,0.33
宋家豪,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ターリー,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
泰勝利,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
瀧中瞭太,15,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,1.0
辰己涼介,114,422,367,36,88,12,2,7,125,32,20,0,1,5,40,0,9,91,12,0.24,0.341,0.325
田中和基,19,18,18,5,1,0,0,0,1,1,1,0,0,0,0,0,0,8,0,0.056,0.056,0.056
