選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
淺間大基,32,84,72,3,13,1,0,1,17,3,2,0,0,0,12,0,0,14,1,0.181,0.236,0.298
有薗直輝,3,10,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0.0,0.0,0.1
池田隆英,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
石井一成,67,223,210,25,57,13,2,2,80,19,1,0,5,1,7,1,0,53,0,0.271,0.381,0.294
五十幡亮汰,79,213,197,34,52,4,6,1,71,17,18,7,2,0,13,0,1,43,1,0.264,0.36,0.313
伊藤大海,18,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0
今川優馬,11,30,28,3,4,0,0,0,4,0,0,0,0,0,2,0,0,6,0,0.143,0.143,0.2
上原健太,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
加藤貴之,14,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0,0.0
金村尚真,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
上川畑大悟,35,81,72,4,12,3,0,0,15,5,0,0,0,0,7,0,2,9,4,0.167,0.208,0.259
河野竜生,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
北山亘基,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0
清宮幸太郎,92,389,358,42,95,19,1,8,140,41,5,1,0,3,27,0,1,54,6,0.265,0.391,0.316
古林睿煬,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
郡司裕也,70,254,215,28,61,9,0,6,88,25,0,0,1,3,31,0,4,41,6,0.284,0.409,0.379
ザバラ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
齋藤友貴哉,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
柴田獅子,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
進藤勇也,10,22,18,2,1,0,0,0,1,0,0,0,2,0,2,0,0,6,1,0.056,0.056,0.15
杉浦稔大,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
孫易磊,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
達孝太,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
田中正義,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
玉井大翔,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
田宮裕涼,42,148,133,16,33,4,0,4,49,11,1,4,4,2,8,0,1,24,2,0.248,0.368,0.292
中島卓也,23,15,7,4,4,0,0,0,4,1,1,0,1,0,7,0,0,2,0,0.571,0.571,0.786
生田目翼,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
奈良間大己,64,71,63,9,15,0,0,1,18,1,2,1,3,0,3,0,2,24,0,0.238,0.286,0.294
野村佑希,65,257,234,19,60,11,1,8,97,27,1,1,0,1,20,0,2,47,4,0.256,0.415,0.319
バーヘイゲン,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
福島蓮,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
福谷浩司,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
伏見寅威,53,147,131,7,34,4,0,2,44,10,0,0,5,0,9,0,2,25,4,0.26,0.336,0.317
細川凌平,9,13,10,0,2,0,0,0,2,1,2,0,2,0,1,0,0,2,0,0.2,0.2,0.273
細野晴希,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
堀瑞輝,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
マルティネス,24,53,49,5,10,1,0,1,14,8,0,0,0,1,2,0,1,18,0,0.204,0.286,0.245
松岡洸希,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
松本剛,41,140,121,12,25,4,1,0,31,6,3,3,3,0,13,0,3,18,3,0.207,0.256,0.299
万波中正,92,352,317,36,73,20,1,17,146,42,1,1,0,0,34,6,1,96,5,0.23,0.461,0.307
水谷瞬,45,172,159,26,44,8,0,10,82,22,2,1,0,1,11,1,1,42,1,0.277,0.516,0.326
水野達稀,62,221,195,24,50,8,5,3,77,27,2,0,2,1,14,0,9,41,2,0.256,0.395,0.333
宮崎一樹,5,6,6,0,1,1,0,0,2,1,0,0,0,0,0,0,0,4,0,0.167,0.333,0.167
宮西尚生,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
矢澤宏太,55,126,116,12,29,4,1,1,38,11,7,1,1,0,7,0,2,31,0,0.25,0.328,0.304
柳川大晟,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
山縣秀,58,135,129,9,26,4,0,1,33,5,1,0,3,1,0,0,2,21,3,0.202,0.256,0.212
山﨑福也,14,7,7,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0.143,0.143,0.143
山本拓実,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
吉田賢吾,47,112,106,9,23,6,1,4,43,9,0,1,0,0,5,0,1,20,5,0.217,0.406,0.259
レイエス,89,366,329,41,95,13,0,21,171,65,0,0,0,1,36,2,0,84,6,0.289,0.52,0.358
若林晃弘,5,7,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.143,0.143,0.143
