選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
赤星優志,19,36,28,1,7,0,0,0,7,2,0,0,5,0,3,0,0,11,0,0.25,0.25,0.323
秋広優人,5,8,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.143,0.143,0.25
浅野翔吾,19,61,55,6,10,3,0,2,19,6,0,0,1,1,2,1,2,14,1,0.182,0.345,0.233
荒巻悠,30,60,53,1,16,1,0,1,20,1,0,2,0,0,7,0,0,12,0,0.302,0.377,0.383
石川達也,33,7,7,0,2,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0.286,0.286,0.286
泉口友汰,92,397,352,42,99,14,0,5,128,25,4,5,6,2,34,2,3,46,6,0.281,0.364,0.348
泉圭輔,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
井上温大,16,26,25,1,2,0,0,0,2,1,0,0,1,0,0,0,0,13,0,0.08,0.08,0.08
浦田俊輔,8,11,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.091,0.091,0.091
オコエ瑠偉,42,115,104,8,25,4,2,0,33,4,3,3,5,0,5,1,1,26,1,0.24,0.317,0.282
大城卓三,38,75,71,4,12,1,0,3,22,8,0,0,0,1,3,1,0,22,2,0.169,0.31,0.2
岡田悠希,7,15,14,1,2,1,0,0,3,2,0,0,0,0,1,0,0,8,0,0.143,0.214,0.2
岡本和真,32,134,117,16,36,8,1,8,70,25,1,1,0,2,12,2,3,16,1,0.308,0.598,0.381
乙坂智,4,4,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25
甲斐拓也,64,237,211,14,54,3,0,4,69,17,3,1,2,2,22,5,0,53,8,0.256,0.327,0.323
門脇誠,67,160,142,13,31,5,1,0,38,4,5,1,7,0,10,0,1,31,2,0.218,0.268,0.275
キャベッジ,84,326,296,34,76,17,0,13,132,41,4,3,1,1,24,3,4,96,2,0.257,0.446,0.32
菊地大稀,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
岸田行倫,51,159,141,11,42,5,0,4,59,22,0,1,5,0,13,2,0,21,1,0.298,0.418,0.357
グリフィン,13,23,19,0,3,0,0,0,3,0,0,0,3,0,1,0,0,6,0,0.158,0.158,0.2
ケラー,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
郡拓也,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
小林誠司,9,18,14,2,3,1,0,0,4,1,0,0,1,0,3,0,0,6,0,0.214,0.286,0.353
坂本勇人,47,154,138,6,28,10,0,2,44,14,0,0,0,3,12,1,1,35,6,0.203,0.319,0.266
佐々木俊輔,34,110,95,10,24,3,1,0,29,6,0,2,8,0,7,0,0,21,2,0.253,0.305,0.304
笹原操希,13,22,20,1,2,0,0,0,2,0,0,0,0,0,2,0,0,7,0,0.1,0.1,0.182
重信慎之介,10,3,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0.333,0.333,0.333
鈴木大和,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
大勢,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
高梨雄平,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
田中瑛斗,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
田中将大,4,4,3,1,1,1,0,0,2,0,0,0,1,0,0,0,0,2,0,0.333,0.667,0.333
長野久義,17,24,22,1,3,0,0,0,3,0,0,0,0,0,2,0,0,8,0,0.136,0.136,0.208
戸郷翔征,13,18,14,0,2,0,0,0,2,0,0,0,4,0,0,0,0,7,0,0.143,0.143,0.143
戸田懐生,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
中川皓太,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
中山礼都,67,171,161,15,39,4,0,2,49,11,0,2,1,0,6,0,3,25,3,0.242,0.304,0.282
西舘勇陽,12,10,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0.0,0.0,0.0
バルドナード,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
萩尾匡也,9,25,23,0,4,0,0,0,4,0,1,0,1,0,1,1,0,5,0,0.174,0.174,0.208
馬場皐輔,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
フルプ,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
船迫大雅,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ヘルナンデス,46,161,142,13,31,8,0,2,45,8,0,3,0,0,18,1,1,31,4,0.218,0.317,0.311
平内龍太,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
堀田賢慎,8,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0.4,0.4,0.4
マルティネス,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
増田大輝,36,16,14,4,2,1,0,0,3,0,3,1,2,0,0,0,0,4,0,0.143,0.214,0.143
増田陸,77,272,252,21,61,10,0,5,86,21,0,3,2,3,12,1,3,56,4,0.242,0.341,0.281
又木鉄平,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
丸佳浩,52,221,188,15,52,9,2,2,71,17,4,3,1,2,30,5,0,32,4,0.277,0.378,0.373
三塚琉生,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,0.0,0.0
森田駿哉,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
山﨑伊織,18,36,33,2,3,0,0,0,3,0,0,0,2,0,1,0,0,14,0,0.091,0.091,0.118
山田龍聖,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
湯浅大,8,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
横川凱,16,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0,0.0
吉川尚輝,90,388,343,28,93,13,3,3,121,26,7,2,2,3,36,0,4,55,6,0.271,0.353,0.345
リチャード,37,100,91,5,14,3,0,4,29,13,0,0,0,0,6,0,3,39,1,0.154,0.319,0.23
若林楽人,59,187,165,22,43,9,2,3,65,15,6,0,3,1,13,0,5,32,0,0.261,0.394,0.332
