選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
秋広優人,22,59,53,4,11,2,0,1,16,4,0,0,0,0,5,0,1,16,1,0.208,0.302,0.288
有原航平,17,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0
イヒネイツア,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
石塚綜一郎,22,52,48,3,10,4,0,0,14,5,0,0,0,0,0,0,4,16,2,0.208,0.292,0.269
伊藤優輔,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
井上朋也,3,7,7,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0.286,0.286,0.286
今宮健太,34,137,123,10,29,6,0,1,38,9,0,0,2,1,10,0,1,16,6,0.236,0.309,0.296
岩井俊介,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
岩崎峻典,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
海野隆司,66,166,150,16,31,8,1,0,41,9,0,0,11,0,4,1,1,37,3,0.207,0.273,0.232
上沢直之,15,5,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0
オスナ,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
大江竜聖,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
大関友久,17,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0.0,0.0,0.0
大津亮介,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
大野稼頭央,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
大山凌,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
尾形崇斗,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
緒方理貢,76,67,63,18,12,1,1,0,15,5,6,3,2,0,2,0,0,9,2,0.19,0.238,0.215
川口冬弥,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
川瀬晃,67,131,112,13,30,6,1,1,41,15,1,0,9,0,10,0,0,17,4,0.268,0.366,0.328
川村友斗,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
木村光,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
栗原陵矢,53,216,182,19,39,4,0,5,58,19,1,1,1,2,29,1,2,37,3,0.214,0.319,0.326
近藤健介,43,174,146,17,48,8,0,5,71,25,0,0,0,2,26,1,0,24,4,0.329,0.486,0.425
笹川吉康,14,36,35,5,5,0,0,0,5,2,1,0,0,1,0,0,0,9,1,0.143,0.143,0.139
佐藤直樹,72,162,144,22,30,6,3,3,51,12,7,0,7,0,10,0,1,52,2,0.208,0.354,0.265
周東佑京,69,308,279,37,85,13,2,3,111,32,28,3,1,0,25,2,3,49,5,0.305,0.398,0.368
庄子雄大,13,10,10,1,2,1,0,0,3,0,1,0,0,0,0,0,0,3,0,0.2,0.3,0.2
杉山一樹,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ダウンズ,38,123,109,13,26,9,3,3,50,16,3,1,0,2,12,0,0,23,0,0.239,0.459,0.309
谷川原健太,20,28,23,6,5,1,0,1,9,2,0,0,0,0,4,0,1,8,0,0.217,0.391,0.357
津森宥紀,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
中村晃,77,313,273,24,66,5,2,1,78,22,1,2,4,3,32,1,1,30,5,0.242,0.286,0.32
野村勇,80,248,224,29,57,10,0,9,94,23,12,3,4,2,16,1,2,65,5,0.254,0.42,0.307
東浜巨,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
廣瀨隆太,30,94,85,6,19,2,0,1,24,7,1,0,1,1,7,0,0,28,2,0.224,0.282,0.28
藤井皓哉,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ヘルナンデス,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
前田純,10,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0.5,0.5,0.5
前田悠伍,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
牧原大成,79,255,239,26,69,11,5,0,90,26,9,1,8,2,4,0,2,33,1,0.289,0.377,0.304
正木智也,17,65,58,4,15,0,0,2,21,8,1,0,0,2,5,0,0,12,2,0.259,0.362,0.308
松本晴,21,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
松本裕樹,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
嶺井博希,45,119,106,13,26,3,0,4,41,16,0,0,7,1,3,0,2,19,3,0.245,0.387,0.277
宮﨑颯,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
モイネロ,17,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.2,0.2,0.2
柳田悠岐,11,38,35,5,10,1,0,2,17,6,0,0,0,0,3,1,0,7,1,0.286,0.486,0.342
柳町達,85,337,286,34,85,11,1,4,110,31,2,2,3,0,43,1,5,71,6,0.297,0.385,0.398
山川穂高,86,336,303,32,65,7,0,16,120,46,0,0,0,3,26,3,4,89,5,0.215,0.396,0.283
山本恵大,20,62,52,7,12,1,0,2,19,6,0,0,0,0,7,0,3,10,5,0.231,0.365,0.355
リチャード,6,22,22,1,2,2,0,0,4,0,0,0,0,0,0,0,0,12,1,0.091,0.182,0.091
渡邉陸,24,51,45,4,10,2,0,0,12,5,1,0,0,0,5,1,1,17,0,0.222,0.267,0.314
