選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
青山美夏人,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
糸川亮太,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
今井達也,23,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0
ウィンゲンター,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
上田大河,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
甲斐野央,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
岸潤一郎,10,31,30,2,5,3,0,0,8,0,0,0,0,0,1,0,0,3,0,0.167,0.267,0.194
栗山巧,11,23,23,0,2,0,0,0,2,0,0,0,0,0,0,0,0,7,1,0.087,0.087,0.087
黒木優太,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
黒田将矢,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
源田壮亮,104,361,320,21,67,11,5,0,88,20,8,5,11,3,25,0,2,60,4,0.209,0.275,0.269
古賀悠斗,108,318,279,25,65,8,0,7,94,19,1,1,7,0,32,0,0,59,8,0.233,0.337,0.312
児玉亮涼,57,52,46,8,8,2,0,0,10,3,1,2,1,0,4,0,1,8,0,0.174,0.217,0.255
齋藤大翔,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
佐々木健,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
佐藤隼輔,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
佐藤太陽,10,25,21,0,2,1,0,0,3,0,0,0,1,0,2,0,1,7,0,0.095,0.143,0.208
篠原響,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
菅井信也,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
隅田知一郎,23,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
炭谷銀仁朗,40,88,81,4,19,4,0,0,23,4,0,1,3,0,3,0,1,18,3,0.235,0.284,0.271
セデーニョ,69,224,208,12,44,5,0,7,70,22,0,0,0,1,13,0,2,46,9,0.212,0.337,0.263
平良海馬,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
髙橋光成,23,5,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0.25,0.25,0.25
髙松渡,27,19,17,4,1,0,0,0,1,0,7,1,2,0,0,0,0,8,0,0.059,0.059,0.059
滝澤夏央,120,415,363,29,86,4,0,0,90,14,21,7,23,0,27,0,2,61,2,0.237,0.248,0.293
武内夏暉,12,5,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0.0,0.0,0.25
田村伊知郎,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
柘植世那,12,14,13,2,2,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0.154,0.154,0.214
デービス,32,118,103,6,22,3,0,3,34,9,0,0,0,0,15,0,0,21,4,0.214,0.33,0.314
外崎修汰,115,415,359,29,84,13,1,5,114,34,6,2,5,8,39,3,4,72,11,0.234,0.318,0.31
仲田慶介,57,87,78,13,17,1,0,0,18,0,1,3,3,0,4,0,2,11,1,0.218,0.231,0.274
仲三河優太,5,10,9,0,2,0,1,0,4,5,0,0,0,1,0,0,0,6,0,0.222,0.444,0.2
中村剛也,44,110,96,3,23,5,0,3,37,10,0,0,0,0,13,2,1,28,2,0.24,0.385,0.336
中村祐太,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
西川愛也,119,530,487,61,128,24,3,10,188,35,24,6,2,3,30,1,8,78,4,0.263,0.386,0.314
ネビン,136,566,505,49,139,24,0,20,223,62,2,1,0,5,45,6,11,77,13,0.275,0.442,0.345
