選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
愛斗,16,19,14,2,2,1,0,0,3,1,0,0,4,0,0,0,1,5,0,0.143,0.214,0.2
東妻勇輔,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
池田来翔,64,208,190,17,44,10,0,4,66,16,2,1,4,3,8,0,3,37,5,0.232,0.347,0.27
石垣雅海,20,20,14,0,2,1,0,0,3,0,1,0,2,0,4,1,0,5,0,0.143,0.214,0.333
石川柊太,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
石川慎吾,14,36,35,2,3,1,0,0,4,3,0,0,0,0,1,0,0,11,0,0.086,0.114,0.111
一條力真,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
上田希由翔,44,124,109,12,25,8,0,1,36,11,0,0,1,1,12,0,1,22,1,0.229,0.33,0.309
植田将太,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
岡大海,45,140,120,13,32,5,0,2,43,15,3,1,2,0,15,1,3,28,1,0.267,0.358,0.362
小川龍成,63,136,120,8,26,1,0,0,27,12,7,2,5,1,9,0,1,23,4,0.217,0.225,0.275
小島和哉,19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
小野郁,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
角中勝也,27,53,42,3,7,0,0,1,10,5,1,0,2,1,8,0,0,9,0,0.167,0.238,0.294
唐川侑己,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
河村説人,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
菊地吏玖,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
木村優人,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
ゲレーロ,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
サモンズ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
坂本光士郎,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
佐藤都志也,42,134,118,10,22,4,0,3,35,11,2,0,1,1,11,1,3,26,0,0.186,0.297,0.271
澤田圭佑,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
澤村拓一,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
鈴木昭汰,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ソト,87,311,281,25,65,13,0,10,108,34,0,0,0,1,27,0,2,85,5,0.231,0.384,0.302
高野脩汰,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
髙部瑛斗,83,266,248,31,66,8,3,0,80,20,17,2,2,4,10,0,2,38,2,0.266,0.323,0.295
立松由宇,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
田中晴也,13,5,5,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0.2,0.2,0.2
種市篤暉,19,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0
田村龍弘,16,37,34,1,5,0,0,1,8,3,0,0,3,0,0,0,0,8,3,0.147,0.235,0.147
茶谷健太,36,29,25,1,6,2,0,0,8,2,0,0,1,0,3,0,0,6,0,0.24,0.32,0.321
寺地隆成,94,366,345,26,91,15,0,5,121,30,0,0,2,1,12,1,6,58,6,0.264,0.351,0.299
友杉篤輝,93,266,230,24,52,9,2,1,68,13,7,6,18,2,14,1,2,33,3,0.226,0.296,0.274
中村奨吾,20,64,59,2,11,2,0,1,16,3,0,0,0,0,4,0,1,9,0,0.186,0.271,0.25
