選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
アビラ,12,16,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0.063,0.063,0.063
赤羽由紘,79,263,233,19,52,11,1,2,71,19,5,3,10,2,18,0,0,53,1,0.223,0.305,0.277
石川雅規,6,11,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0.091,0.091,0.091
石原勇輝,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
石山泰稚,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
伊藤琉偉,70,175,156,14,34,5,2,3,52,17,3,1,6,1,12,2,0,42,1,0.218,0.333,0.272
岩田幸宏,88,289,253,28,62,3,4,0,73,7,12,6,9,1,21,1,5,34,1,0.245,0.289,0.314
内山壮真,78,307,282,33,79,18,0,7,118,35,6,2,1,3,20,0,1,40,7,0.28,0.418,0.327
オスナ,101,415,374,24,98,17,0,8,139,48,2,1,0,5,35,6,1,45,9,0.262,0.372,0.323
太田賢吾,21,69,63,9,19,6,0,0,25,3,0,0,1,0,3,0,2,16,0,0.302,0.397,0.353
大西広樹,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
小川泰弘,9,19,15,0,1,1,0,0,2,0,0,0,4,0,0,0,0,5,0,0.067,0.133,0.067
奥川恭伸,13,24,19,2,4,1,0,0,5,0,0,0,5,0,0,0,0,9,0,0.211,0.263,0.211
金久保優斗,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
木澤尚文,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
北村恵吾,9,21,18,3,5,0,0,3,14,5,0,0,1,0,2,0,0,1,0,0.278,0.778,0.35
北村拓己,49,120,104,9,20,2,0,3,31,7,0,1,6,0,6,0,4,27,1,0.192,0.298,0.263
古賀優大,62,201,184,11,51,7,0,2,64,8,2,0,7,0,7,1,3,17,11,0.277,0.348,0.314
小澤怜史,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
サンタナ,60,240,212,25,58,11,0,3,78,15,1,1,0,0,25,0,3,65,4,0.274,0.368,0.358
阪口皓亮,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
澤井廉,27,77,75,3,14,4,0,1,21,3,0,0,0,0,1,0,1,27,1,0.187,0.28,0.208
清水昇,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
下川隼佑,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
荘司宏太,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
高梨裕稔,12,17,16,1,1,0,0,0,1,0,0,0,1,0,0,0,0,9,0,0.063,0.063,0.063
高橋奎二,6,8,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0.0,0.0,0.0
田口麗斗,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
武岡龍世,47,119,104,6,19,5,0,1,27,5,1,0,7,1,7,0,0,23,0,0.183,0.26,0.232
田中陽翔,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
長岡秀樹,31,125,116,7,26,6,0,0,32,4,0,0,2,2,4,1,1,9,3,0.224,0.276,0.252
中村優斗,4,5,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0.25,0.25,0.4
中村悠平,56,161,135,9,25,4,0,0,29,7,1,0,6,1,16,2,3,24,4,0.185,0.215,0.284
並木秀尊,41,92,82,18,19,3,0,3,31,7,5,2,5,0,3,0,2,9,0,0.232,0.378,0.276
西川遥輝,43,122,105,10,19,3,0,0,22,6,1,0,2,0,14,0,1,30,1,0.181,0.21,0.283
沼田翔平,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
バウマン,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
橋本星哉,13,12,11,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0.091,0.091,0.167
長谷川宙輝,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
濱田太貴,10,17,17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.059,0.059,0.059
星知弥,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
増田珠,58,102,92,8,24,4,2,1,35,11,1,0,2,0,6,0,2,18,2,0.261,0.38,0.32
松本健吾,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
松本直樹,16,33,31,0,6,1,0,0,7,0,0,0,0,0,2,0,0,7,3,0.194,0.226,0.242
丸山和郁,29,28,26,6,3,0,0,0,3,2,1,1,1,0,1,1,0,9,0,0.115,0.115,0.148
丸山翔大,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
宮本丈,63,89,72,4,19,4,0,0,23,6,0,0,2,0,14,1,1,17,1,0.264,0.319,0.391
村上宗隆,19,81,72,11,20,4,0,7,45,14,1,1,0,1,8,1,0,27,0,0.278,0.625,0.346
茂木栄五郎,53,172,150,12,36,2,0,5,53,16,0,3,1,0,19,1,2,48,2,0.24,0.353,0.333
矢崎拓也,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
山田哲人,89,317,285,17,62,12,0,7,95,27,3,0,0,3,27,4,2,55,7,0.218,0.333,0.287
山野太一,8,12,10,0,1,1,0,0,2,1,0,0,2,0,0,0,0,6,0,0.1,0.2,0.1
山野辺翔,17,24,19,2,4,1,0,0,5,2,2,0,2,0,2,1,1,2,0,0.211,0.263,0.318
山本大貴,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
吉村貢司郎,17,31,24,0,0,0,0,0,0,0,0,0,6,0,1,0,0,8,1,0.0,0.0,0.04
ランバート,17,26,24,1,3,0,0,0,3,1,0,0,2,0,0,0,0,12,0,0.125,0.125,0.125
