選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
石井大智,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
石黒佑弥,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
伊藤将司,6,11,8,1,0,0,0,0,0,1,0,0,3,0,0,0,0,3,3,0.0,0.0,0.0
糸原健斗,46,60,54,0,10,0,0,0,10,3,1,0,0,1,5,1,0,15,1,0.185,0.185,0.25
井上広大,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0.0,0.0,0.0
伊原陵人,18,19,19,0,3,0,0,0,3,0,0,0,0,0,0,0,0,5,1,0.158,0.158,0.158
岩崎優,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
岩貞祐太,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
植田海,26,4,4,7,1,1,0,0,2,1,4,0,0,0,0,0,0,2,0,0.25,0.5,0.25
梅野隆太郎,37,101,91,5,18,2,0,0,20,2,1,2,5,0,5,2,0,22,1,0.198,0.22,0.24
漆原大晟,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
大竹耕太郎,9,19,18,0,1,0,0,0,1,0,0,0,1,0,0,0,0,9,0,0.056,0.056,0.056
大山悠輔,89,372,328,24,85,14,1,4,113,41,4,1,0,2,41,2,1,57,12,0.259,0.345,0.341
岡留英貴,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
小野寺暖,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
小幡竜平,55,195,174,14,42,7,0,1,52,12,4,2,8,3,10,2,0,46,4,0.241,0.299,0.278
及川雅貴,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
木浪聖也,50,153,135,8,26,5,2,0,35,12,1,1,7,0,8,2,3,34,1,0.193,0.259,0.253
木下里都,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
桐敷拓馬,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
楠本泰史,10,10,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0.0,0.0,0.1
工藤泰成,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
熊谷敬宥,42,47,42,14,12,1,1,0,15,6,5,1,4,0,1,0,0,8,2,0.286,0.357,0.302
ゲラ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
才木浩人,15,30,26,1,1,0,0,0,1,0,0,0,3,0,1,0,0,13,1,0.038,0.038,0.074
榮枝裕貴,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
坂本誠志郎,71,238,193,13,49,11,1,2,68,17,1,1,11,0,32,6,2,50,4,0.254,0.352,0.366
佐藤輝明,88,376,338,51,97,21,4,25,201,64,8,2,0,1,37,6,0,100,3,0.287,0.595,0.356
椎葉剛,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
島田海吏,26,29,25,2,4,0,0,0,4,0,1,2,3,0,1,0,0,1,0,0.16,0.16,0.192
島本浩也,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
髙寺望夢,26,48,41,1,9,1,0,1,13,1,1,1,3,0,3,1,1,14,0,0.22,0.317,0.289
髙橋遥人,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
近本光司,89,409,368,48,107,15,2,3,135,23,23,5,0,2,38,1,1,52,1,0.291,0.367,0.357
デュプランティエ,14,26,24,0,1,0,0,0,1,0,0,0,2,0,0,0,0,16,0,0.042,0.042,0.042
富田蓮,9,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0.0,0.0,0.0
豊田寛,21,47,42,2,10,2,0,0,12,4,0,0,0,1,4,0,0,11,3,0.238,0.286,0.298
中川勇斗,7,12,10,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0.1,0.1,0.25
中野拓夢,89,397,328,45,96,10,2,0,110,19,14,3,30,2,34,1,3,48,4,0.293,0.335,0.362
西勇輝,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
ネルソン,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
早川太貴,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
原口文仁,8,8,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0.0,0.0,0.125
ビーズリー,6,8,5,0,1,0,0,0,1,1,0,0,3,0,0,0,0,3,0,0.2,0.2,0.2
ヘルナンデス,31,78,76,2,17,3,0,0,20,4,0,0,0,1,1,0,0,20,3,0.224,0.263,0.231
前川右京,60,182,169,9,39,9,1,0,50,9,0,1,0,0,8,2,5,27,2,0.231,0.296,0.286
村上頌樹,17,39,32,0,3,0,0,0,3,0,0,0,6,0,1,0,0,21,1,0.094,0.094,0.121
森下翔太,89,393,347,53,92,12,1,16,154,60,4,2,0,3,33,4,10,55,13,0.265,0.444,0.344
門別啓人,9,12,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0.0,0.0,0.0
湯浅京己,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
渡邉諒,22,24,19,0,3,0,0,0,3,1,0,0,0,0,5,1,0,8,1,0.158,0.158,0.333
